buggy_component,Bug Probability
Call,0.1605429792307926
Call,0.1605429792307926
Attribute,0.1605429792307926
Num,0.1605429792307926
Name,0.1605429792307926
Call,0.1605429792307926
Attribute,0.1605429792307926
Num,0.1605429792307926
Name,0.1605429792307926
Attribute,0.1605429792307926
Name,0.1605429792307926
Num,0.1605429792307926
Name,0.1605429792307926
Name,0.1605429792307926
Return,0.1605429792307926
Assign,0.1605429792307926
Attribute,0.1605429792307926
Call,0.1605429792307926
Call,0.1605429792307926
Name,0.1605429792307926
Num,0.1605429792307926
Name,0.1605429792307926
Expr,0.1605429792307926
Call,0.1605429792307926
Attribute,0.1605429792307926
Num,0.1605429792307926
Name,0.1605429792307926
Call,0.1605429792307926
Attribute,0.1605429792307926
Num,0.1605429792307926
